id,DISTRICT,SUB_DISTRI,COUNT_REQ,floors,UP_DMG,WALL_DMG,FLOOR_DMG,PILLAR_DMG,STRUCTURE_,BLDG_T,ZONE,ZONE_GROUP,SUB_ZONE,SoftClay_m,WaterConte,LiquidLimi,Plasticity,Total_Unit,Score_Rang,Zoning,total_dmg_score,total_dmg_class,total_dmg_class_id
137963924,????,??????????,13,28,2,4,1,3,1,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,1,?????,5
176332744,???????,???????,1,33,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1310886070,???????,???????,1,4,0,0,0,0,1,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
377292915,???????,?????????,8,,1,1,0,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.292962296,????,2
333233945,???????,?????????,3,,0,0,0,0,1,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
1250752795,???????,?????,41,41,4,5,2,0,2,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.792751601,?????,5
539298511,???????,???????,1,,0,0,0,0,0,house,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1220700324,???????,???????,1,3,0,0,0,0,0,other,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
539806478,???????,???????,3,32,0,1,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
213871636,???????,???????,2,,1,0,1,0,0,condo,?.?,???????? : ???????????????????????,?.?,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.352736429,???????,3
589593598,???????,??????,1,,0,0,0,0,0,building,?.,?????????????,?.-?,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1247286998,???????,??????,1,,0,0,0,0,0,house,?.?,??????? : ????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
1096172760,??????????,????????????,1,,0,0,0,0,0,building,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1264152505,???????,???????,1,,0,0,0,0,1,office building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
492713624,???????,?????,2,,0,0,0,0,0,building,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
157522245,???????,???????,2,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
333176456,???????,????????,12,,1,1,0,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.292962296,????,2
323690982,?????,????????????,3,,0,0,0,0,1,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
376864638,???????,??????,13,,2,3,2,0,1,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.792751601,?????,5
261528730,??????,????,4,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
397484993,???????,?????????,4,,0,1,1,0,0,condo,?.?,????? : ??????????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.297055168,????,2
1103683323,??????,????,9,,1,0,1,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.352736429,???????,3
1225140163,????,???????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
492711702,???????,?????,17,,0,5,1,2,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.622944085,??????,4
1414563951,?????,?????,1,,0,1,0,0,0,building,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
25620935,?????,??????????,4,,0,1,1,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.297055168,????,2
369335043,????????,????????,7,,1,1,0,0,2,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.495696433,??????,4
164044181,????????,????????,2,,0,0,0,1,0,building,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
369464889,?????,?????,23,52,0,0,2,1,1,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.588397186,??????,4
18882916,?????,????????,1,,0,1,0,0,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
407748597,???????,?????,4,,0,1,0,0,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
369464892,?????,?????,13,,0,2,0,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.237281035,????,2
207629172,?????,?????,1,,0,1,0,0,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
333178328,???????,?????????,3,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1214818073,??????,??????????,6,5,0,2,0,0,0,other,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.237281035,????,2
333223534,???????,????????,2,,0,1,0,0,1,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.321374654,????,2
1196079795,???????,???????????????,1,,0,0,0,0,0,other,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
369335020,????????,????????,1,,0,0,0,0,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1311693664,???????,???????,1,33,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
376863076,??????????,????????????,13,,2,2,1,1,2,condo,?.?,????? : ??????????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,1,?????,5
333223531,????????,????????,4,,0,1,2,0,1,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.499789305,??????,4
333134190,???????,???????,3,,0,0,0,0,1,building,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
113107210,???????,???????,6,,1,0,0,4,1,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.584304314,??????,4
1286303028,???????,???????,9,,0,1,1,2,0,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.504303567,??????,4
518607801,???????,??????,9,41,0,0,0,1,2,condo,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.409982536,???????,3
25805374,??????,????,12,,0,0,0,5,2,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.409982536,???????,3
395153382,???????,???????,6,,0,0,1,0,2,condo,?.?,????? : ??????????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.381148787,???????,3
1396729650,?????,????????,2,,0,1,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
485628754,???????,???????,4,5,0,0,0,1,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
680370549,????,???????,12,2,1,1,0,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.292962296,????,2
1233799364,???????,?????,11,44,0,0,1,3,1,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.588397186,??????,4
220428855,???????,???????,6,18,1,1,1,0,1,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.674111083,?????,5
1039832751,???????,????????,6,,0,1,0,0,0,condo,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
395163186,???????,???????,2,,0,0,0,0,0,building,?.?,????? : ??????????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
804153825,???????,???????,1,,0,0,0,0,0,other,?.?,????? : ??????????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0,????????????????,0
348793161,?????,????????????,1,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
331795163,????????,????????,1,,0,0,0,0,0,other,?.?,???????? : ??????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
234756489,??????,?????????,1,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
377538702,???????,???????,9,,0,0,1,0,1,condo,?.?,????? : ??????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.381148787,???????,3
1091751677,????,??????????,1,,0,0,0,0,0,building,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
356205066,???????,????????,2,,0,0,0,0,0,house,?.?,????? : ??????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
